total_inner_iterations,totim,kper,kstp,nouter,ninner,solution_inner_dvmax,solution_inner_dvmax_model,solution_inner_dvmax_node,solution_inner_rmax,solution_inner_rmax_model,solution_inner_rmax_node,solution_inner_alpha,solution_inner_omega
1,1.000000000000000,1,1,1,1,-196.1245366386811,1,65828,.1809039817730092E-01,1,60005,1.039558,1.565511
2,1.000000000000000,1,1,1,2,-54.61381812056185,1,76466,.3410701939143804E-02,1,60109,1.808386,1.324345
3,1.000000000000000,1,1,1,3,-32.71193990276174,1,60272,.1807118612880692E-02,1,47967,2.104826,1.663040
4,1.000000000000000,1,1,1,4,-37.40911339418305,1,47648,.7723138672440393E-03,1,63577,3.070872,2.289852
5,1.000000000000000,1,1,1,5,-16.31156186898508,1,33114,.4799995966923041E-03,1,33718,2.681797,1.289439
6,1.000000000000000,1,1,1,6,-12.18124817683145,1,44628,-.3145779492237792E-03,1,50714,2.854227,1.882081
7,1.000000000000000,1,1,1,7,-7.501511408595307,1,36683,.2089007726931178E-03,1,45925,2.617741,1.388383
8,1.000000000000000,1,1,1,8,-6.235710228022617,1,46135,.1658121782434424E-03,1,35898,2.967044,1.571036
9,1.000000000000000,1,1,1,9,-4.432599054784911,1,46192,.1196313209358549E-03,1,37073,2.774005,1.337136
10,1.000000000000000,1,1,1,10,-3.880098190529098,1,46195,.1025932540124355E-03,1,37073,3.162303,1.272329
11,1.000000000000000,1,1,1,11,-3.160565083203640,1,46305,.7968712826572768E-04,1,37073,3.207769,1.189032
12,1.000000000000000,1,1,1,12,-18.33084832696065,1,46415,.1270881391671439E-03,1,29394,30.39374,0.9013422
13,1.000000000000000,1,1,1,13,11.88322697420651,1,46306,.2254988144622635E-04,1,46857,0.9496950E-01,20.87528
14,1.000000000000000,1,1,1,14,-.9234412005678164,1,46856,-.1641880229053744E-04,1,23422,3.450738,4.519928
15,1.000000000000000,1,1,1,15,-.4417617676327696,1,46573,.1110948804895746E-04,1,37073,2.837941,1.183820
16,1.000000000000000,1,1,1,16,-.3791554331903039,1,46575,.8335621472448624E-05,1,37073,2.845511,2.172220
17,1.000000000000000,1,1,1,17,-.2864815132721192,1,46629,.6306794847009154E-05,1,37504,2.862686,1.105655
