total_inner_iterations,totim,kper,kstp,nouter,inner_iterations,solution_outer_dvmax,solution_outer_dvmax_model,solution_outer_dvmax_package,solution_outer_dvmax_node
27,1.000000000000000,1,1,1,27,-198.1615099017850,1,,65773
55,1.000000000000000,1,1,2,28,-122.9028704886915,1,,28161
85,1.000000000000000,1,1,3,30,-108.9617873935114,1,,28161
112,1.000000000000000,1,1,4,27,-90.28345149466858,1,,28161
138,1.000000000000000,1,1,5,26,-64.56181061701818,1,,28161
162,1.000000000000000,1,1,6,24,-47.59528501827913,1,,30194
181,1.000000000000000,1,1,7,19,-45.83245493131150,1,,30303
206,1.000000000000000,1,1,8,25,-44.16553994513024,1,,30412
232,1.000000000000000,1,1,9,26,-40.33490595835912,1,,21292
255,1.000000000000000,1,1,10,23,-39.38899204427183,1,,30359
282,1.000000000000000,1,1,11,27,-38.22979008296439,1,,30522
308,1.000000000000000,1,1,12,26,-37.26662868375271,1,,21241
333,1.000000000000000,1,1,13,25,-35.78993430925094,1,,20587
364,1.000000000000000,1,1,14,31,-33.48511120330205,1,,30416
385,1.000000000000000,1,1,15,21,-30.99135901400004,1,,21453
410,1.000000000000000,1,1,16,25,-31.06152829878179,1,,11742
442,1.000000000000000,1,1,17,32,-31.29535784711892,1,,23128
476,1.000000000000000,1,1,18,34,-30.03706251690245,1,,11843
511,1.000000000000000,1,1,19,35,-29.05212511662559,1,,11800
547,1.000000000000000,1,1,20,36,-28.94049072667519,1,,11694
580,1.000000000000000,1,1,21,33,-28.10832068008948,1,,11803
610,1.000000000000000,1,1,22,30,-26.81646845857728,1,,20865
638,1.000000000000000,1,1,23,28,-26.03648426593820,1,,20920
669,1.000000000000000,1,1,24,31,-25.09138607524756,1,,11579
700,1.000000000000000,1,1,25,31,-24.67492975901283,1,,11688
739,1.000000000000000,1,1,26,39,-25.65105624422044,1,,11151
776,1.000000000000000,1,1,27,37,-24.41448594179354,1,,11206
809,1.000000000000000,1,1,28,33,-23.67102577861965,1,,11261
837,1.000000000000000,1,1,29,28,-21.59485244027763,1,,11209
875,1.000000000000000,1,1,30,38,-20.15541059680434,1,,11210
903,1.000000000000000,1,1,31,28,-19.86416333053923,1,,19846
938,1.000000000000000,1,1,32,35,-18.60314724642033,1,,19847
975,1.000000000000000,1,1,33,37,-16.92900091073173,1,,11713
1013,1.000000000000000,1,1,34,38,-15.66666088794381,1,,29361
1051,1.000000000000000,1,1,35,38,-14.37957822630212,1,,20116
1089,1.000000000000000,1,1,36,38,-13.15474246065793,1,,10785
1122,1.000000000000000,1,1,37,33,-12.10360663720655,1,,12792
1161,1.000000000000000,1,1,38,39,-11.14126951733193,1,,12792
1196,1.000000000000000,1,1,39,35,-10.09130577586014,1,,10616
1232,1.000000000000000,1,1,40,36,-9.298816941632055,1,,20493
1266,1.000000000000000,1,1,41,34,-8.401102027082985,1,,11151
1305,1.000000000000000,1,1,42,39,-7.799133031308656,1,,11151
1333,1.000000000000000,1,1,43,28,-6.894035065825818,1,,11152
1350,1.000000000000000,1,1,44,17,-5.589720313258383,1,,11206
1389,1.000000000000000,1,1,45,39,-6.005586753728011,1,,12792
1416,1.000000000000000,1,1,46,27,-5.211510114802934,1,,12792
1448,1.000000000000000,1,1,47,32,-4.884850911937463,1,,12792
1468,1.000000000000000,1,1,48,20,-4.038993572186115,1,,11207
1491,1.000000000000000,1,1,49,23,-3.840315348070334,1,,12792
1510,1.000000000000000,1,1,50,19,-3.368131870312098,1,,11207
1538,1.000000000000000,1,1,51,28,-3.385755262168459,1,,12792
1565,1.000000000000000,1,1,52,27,-3.069267449149692,1,,12792
1587,1.000000000000000,1,1,53,22,-2.640897268906869,1,,12792
1606,1.000000000000000,1,1,54,19,-2.325436379089226,1,,11262
1633,1.000000000000000,1,1,55,27,-2.360410745205940,1,,12792
1662,1.000000000000000,1,1,56,29,-2.153636431532718,1,,12792
1683,1.000000000000000,1,1,57,21,-1.789050364825130,1,,12792
1704,1.000000000000000,1,1,58,21,-1.605451825735614,1,,11262
1723,1.000000000000000,1,1,59,19,-1.448194950500877,1,,11262
1738,1.000000000000000,1,1,60,15,-1.295792620837759,1,,11262
1762,1.000000000000000,1,1,61,24,-1.368193112159062,1,,12792
1785,1.000000000000000,1,1,62,23,-1.235280822741174,1,,12792
1800,1.000000000000000,1,1,63,15,-.9586736088389429,1,,19847
1812,1.000000000000000,1,1,64,12,-.2456306577612963,1,,59396
1813,1.000000000000000,1,1,65,1,-.6750293940022800E-02,1,,47873
