total_iterations,totim,kper,kstp,ksub,nouter,ninner,solution_dvmax,solution_dvmax_model,solution_dvmax_node,solution_drmax,solution_drmax_model,solution_drmax_node,solution_alpha,solution_omega
1,1.000000000000000,1,1,1,1,1,-.1393172658258470,1,93942,.3081007253273629E-01,1,60005,1.058237,1.603203
2,1.000000000000000,1,1,1,1,2,-.2783530932182636,1,93942,.6072583974579167E-02,1,76466,2.209474,1.026361
3,1.000000000000000,1,1,1,1,3,-.9864855366736676,1,93942,.4101742438714430E-02,1,38102,1.464286,6.882989
4,1.000000000000000,1,1,1,1,4,-.8518331328945358,1,93942,-.1922658920526576E-02,1,37996,4.735592,0.9179464
5,1.000000000000000,1,1,1,1,5,-1.194092612102568,1,93942,-.4317772425880112E-02,1,37996,2.751764,2.031471
6,1.000000000000000,1,1,1,1,6,-1.086111134563176,1,93942,-.1422755078144465E-02,1,37996,2.529707,0.9683265
7,1.000000000000000,1,1,1,1,7,-1.607798393918517,1,93942,-.2554321508859131E-02,1,37996,3.119722,1.644785
8,1.000000000000000,1,1,1,1,8,-1.711598239775924,1,93942,-.1312284399802592E-02,1,37996,2.803605,1.033829
9,1.000000000000000,1,1,1,1,9,-2.138135438499798,1,93942,-.2321333918255626E-02,1,37996,2.718668,1.801480
10,1.000000000000000,1,1,1,1,10,-2.610491944873750,1,93942,-.9542900337618809E-03,1,37996,3.081809,0.9851394
11,1.000000000000000,1,1,1,1,11,-3.392443352609898,1,93942,-.1886198551821697E-02,1,37996,2.918350,1.857770
12,1.000000000000000,1,1,1,1,12,-4.216498340874439,1,93942,-.5036252181545072E-03,1,37996,3.634105,0.8705271
13,1.000000000000000,1,1,1,1,13,-.7307978272093230,1,93942,.2260787906183335E-02,1,37996,-0.5847108,2.858776
14,1.000000000000000,1,1,1,1,14,-8.812167222828968,1,93942,.2262922772786875E-02,1,37996,-5.196176,4.244261
15,1.000000000000000,1,1,1,1,15,-6.393830449331425,1,93942,.6993085775701762E-03,1,37996,3.565306,1.257700
16,1.000000000000000,1,1,1,1,16,-7.650783260556594,1,93942,.1174255723968764E-02,1,37996,3.136395,2.717220
17,1.000000000000000,1,1,1,1,17,-7.301946570101959,1,93942,.6430969962109533E-03,1,37996,2.716300,1.595502
18,1.000000000000000,1,1,1,1,18,-7.785306767001290,1,93942,.9086073737866933E-03,1,37996,2.771982,3.161556
19,1.000000000000000,1,1,1,1,19,-6.628419556197523,1,93942,.3027006299188147E-03,1,37996,3.018220,1.237765
20,1.000000000000000,1,1,1,1,20,-6.744368101477710,1,93942,.4657884156189299E-03,1,11008,2.837528,2.169646
21,1.000000000000000,1,1,1,1,21,-6.171754118502890,1,93942,.2225814371543160E-03,1,37559,2.919474,1.032971
22,1.000000000000000,1,1,1,1,22,-7.266818154094148,1,93942,.3507665501986405E-03,1,11008,3.122385,1.833403
23,1.000000000000000,1,1,1,1,23,-6.235687731462907,1,93942,.1680612475113902E-03,1,37559,2.777582,1.074359
24,1.000000000000000,1,1,1,1,24,-5.887518007303767,1,93942,.2511655681366364E-03,1,11008,2.956308,1.644146
